tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7901,4854,54066,58973,"4,907.0",245,Clarendon Ave & Junior Ter,41.961004,-87.649603,245,Clarendon Ave & Junior Ter,41.961004,-87.649603,Customer,,
7902,26,54067,55237,"1,170.0",94,Clark St & Armitage Ave,41.918306,-87.636282,7,Field Blvd & South Water St,41.886349063,-87.617516547,Subscriber,Male,1990
7903,4183,54080,54744,664.0,315,Elston Ave & Wabansia Ave,41.912919,-87.664169,186,Ogden Ave & Race Ave,41.891795,-87.658751,Subscriber,Male,1983
7904,1448,54084,55966,"1,882.0",496,Avers Ave & Belmont Ave,41.939408,-87.723574,20,Sheffield Ave & Kingsbury St,41.910522,-87.653106,Customer,,
7905,4425,54087,54853,766.0,225,Halsted St & Dickens Ave,41.919936,-87.64883,61,Wood St & Milwaukee Ave,41.907655,-87.672552,Subscriber,Male,1993
7906,2041,54090,57071,"2,981.0",69,Damen Ave & Pierce Ave,41.909396007,-87.677691929,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7907,2344,54110,55746,"1,636.0",85,Michigan Ave & Oak St,41.90096039,-87.62377664,87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,Subscriber,Female,1965
7908,4017,54110,54708,598.0,300,Broadway & Barry Ave,41.937725,-87.644095,312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,Subscriber,Male,1982
7909,3916,54118,54699,581.0,177,Theater on the Lake,41.926277,-87.630834,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Subscriber,Male,1984
7910,4310,54120,55072,952.0,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,110,Dearborn St & Erie St,41.893992,-87.629318,Subscriber,Male,1984
7911,1438,54117,54549,432.0,324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,177,Theater on the Lake,41.926277,-87.630834,Subscriber,Male,1986
7912,4999,54129,54449,320.0,190,Southport Ave & Wrightwood Ave,41.928773,-87.663913,226,Racine Ave & Belmont Ave,41.939743,-87.658865,Subscriber,Male,1990
7913,2962,54129,55224,"1,095.0",321,Wabash Ave & 9th St,41.870769,-87.625734,120,Wentworth Ave & Cermak Rd (Temp),41.853005,-87.630578,Subscriber,Male,1962
7914,4911,54139,54344,205.0,312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,Subscriber,Female,1988
7915,4110,54142,54512,370.0,236,Sedgwick St & Schiller St,41.907626,-87.638566,94,Clark St & Armitage Ave,41.918306,-87.636282,Customer,,
7916,4053,54143,54991,848.0,464,Damen Ave & Foster Ave,41.975614805,-87.679459039,453,Clark St & Schreiber Ave,41.999251822,-87.671377339,Customer,,
7917,6062,54144,55476,"1,332.0",326,Clark St & Leland Ave,41.967096,-87.667429,141,Clark St & Lincoln Ave,41.915689,-87.6346,Subscriber,Male,1995
7918,6177,54145,54664,519.0,22,May St & Taylor St,41.8694821,-87.6554864,198,Green St & Madison St,41.881892,-87.648789,Subscriber,Male,1996
7919,3020,54146,54862,716.0,491,Talman Ave & Addison St,41.946635831,-87.694614758,260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,Subscriber,Male,1993
7920,1360,54148,59610,"5,462.0",177,Theater on the Lake,41.926277,-87.630834,177,Theater on the Lake,41.926277,-87.630834,Customer,,
7921,3597,54151,55616,"1,465.0",506,Spaulding Ave & Armitage Ave,41.917183752,-87.710356652,60,Dayton St & North Ave,41.910578035,-87.649421929,Subscriber,Male,1992
7922,3544,54153,61801,"7,648.0",97,Field Museum,41.865312,-87.617867,117,Wilton Ave & Belmont Ave,41.94018,-87.65304,Customer,Female,1982
7923,4881,54159,58381,"4,222.0",268,Lake Shore Dr & North Blvd,41.911722,-87.626804,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
7924,4503,54162,54851,689.0,318,Southport Ave & Irving Park Rd,41.954177,-87.664358,318,Southport Ave & Irving Park Rd,41.954177,-87.664358,Subscriber,Male,1969
7925,6194,54163,59640,"5,477.0",177,Theater on the Lake,41.926277,-87.630834,177,Theater on the Lake,41.926277,-87.630834,Customer,,
7926,3671,54166,58356,"4,190.0",268,Lake Shore Dr & North Blvd,41.911722,-87.626804,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
7927,6296,54162,55935,"1,773.0",304,Broadway & Waveland Ave,41.949074,-87.648636,359,Larrabee St & Division St,41.90348607,-87.643353494,Subscriber,Male,1955
7928,2911,54173,55207,"1,034.0",3,Shedd Aquarium,41.867225957,-87.61535539,24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,Subscriber,Male,1992
7929,4917,54173,54837,664.0,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,106,State St & Pearson St,41.897448,-87.628722,Subscriber,Male,1969
7930,1489,54175,54558,383.0,35,Streeter Dr & Grand Ave,41.892278,-87.612043,142,McClurg Ct & Erie St,41.894503,-87.617854,Subscriber,Female,1989
7931,3449,54176,55286,"1,110.0",227,Southport Ave & Waveland Ave,41.94815,-87.66394,477,Manor Ave & Leland Ave,41.965875,-87.700825,Subscriber,Female,1992
7932,3256,54176,55255,"1,079.0",523,Eastlake Ter & Rogers Ave,42.021019,-87.665086,605,University Library (NU),42.052939,-87.673447,Subscriber,Male,1989
7933,5490,54178,55488,"1,310.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,94,Clark St & Armitage Ave,41.918306,-87.636282,Subscriber,Male,1996
7934,295,54185,55565,"1,380.0",240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,457,Clark St & Elmdale Ave,41.990887,-87.669758,Subscriber,Male,1994
7935,3098,54190,55179,989.0,163,Damen Ave & Clybourn Ave,41.931931,-87.677856,290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,Subscriber,Male,1963
7936,2167,54192,55207,"1,015.0",289,Wells St & Concord Ln,41.912133,-87.634656,24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,Subscriber,Male,1987
7937,6124,54192,54861,669.0,626,Delano Ct & Roosevelt Rd,41.867491,-87.63219,137,Morgan Ave & 14th Pl,41.862378,-87.651062,Subscriber,Male,1969
